
 Element Angles                         

 Maximum   =   108.413218
 Minimum   =   26.249278
 Average   =   60.
 Deviation =   7.67074347

     Minimum     Maximum    Count  Percent
 ----------- ----------- -------- --------
  0.2500E+02  0.2750E+02        3     0.04
  0.2750E+02  0.3000E+02        2     0.03
  0.3250E+02  0.3500E+02        2     0.03
  0.3500E+02  0.3750E+02        2     0.03
  0.3750E+02  0.4000E+02       12     0.16
  0.4000E+02  0.4250E+02       20     0.26
  0.4250E+02  0.4500E+02       76     1.00
  0.4500E+02  0.4750E+02      150     1.98
  0.4750E+02  0.5000E+02      235     3.10
  0.5000E+02  0.5250E+02      391     5.15
  0.5250E+02  0.5500E+02      622     8.20
  0.5500E+02  0.5750E+02     1407    18.54
  0.5750E+02  0.6000E+02     1778    23.43
  0.6000E+02  0.6250E+02      748     9.86
  0.6250E+02  0.6500E+02      515     6.79
  0.6500E+02  0.6750E+02      470     6.19
  0.6750E+02  0.7000E+02      436     5.75
  0.7000E+02  0.7250E+02      253     3.33
  0.7250E+02  0.7500E+02      118     1.56
  0.7500E+02  0.7750E+02      101     1.33
  0.7750E+02  0.8000E+02       98     1.29
  0.8000E+02  0.8250E+02       65     0.86
  0.8250E+02  0.8500E+02       15     0.20
  0.8500E+02  0.8750E+02       15     0.20
  0.8750E+02  0.9000E+02       37     0.49
  0.9000E+02  0.9250E+02        9     0.12
  0.9500E+02  0.9750E+02        1     0.01
  0.9750E+02  0.1000E+03        3     0.04
  0.1000E+03  0.1025E+03        2     0.03
  0.1075E+03  0.1100E+03        1     0.01
 -----------------------------------------
