
 Element Angles                         

 Maximum   =    97.8260144442504     
 Minimum   =    37.9840301045521     
 Average   =    60.0000000000000     
 Deviation =    7.10522866443117     

     Minimum     Maximum    Count  Percent
 ----------- ----------- -------- --------
  0.3750E+02  0.4000E+02        6     0.90
  0.4000E+02  0.4250E+02        3     0.45
  0.4250E+02  0.4500E+02       12     1.80
  0.4500E+02  0.4750E+02       10     1.50
  0.4750E+02  0.5000E+02       11     1.65
  0.5000E+02  0.5250E+02       27     4.05
  0.5250E+02  0.5500E+02       27     4.05
  0.5500E+02  0.5750E+02       45     6.76
  0.5750E+02  0.6000E+02      200    30.03
  0.6000E+02  0.6250E+02      204    30.63
  0.6250E+02  0.6500E+02       38     5.71
  0.6500E+02  0.6750E+02       19     2.85
  0.6750E+02  0.7000E+02       22     3.30
  0.7000E+02  0.7250E+02       12     1.80
  0.7250E+02  0.7500E+02        9     1.35
  0.7500E+02  0.7750E+02        5     0.75
  0.7750E+02  0.8000E+02        6     0.90
  0.8000E+02  0.8250E+02        2     0.30
  0.8750E+02  0.9000E+02        4     0.60
  0.9500E+02  0.9750E+02        2     0.30
  0.9750E+02  0.1000E+03        2     0.30
 -----------------------------------------
